Flare Class,Start Time,Peak Time,End Time,Active Region Number,Harp Number,CME
M1.5,2015-03-06T06:55Z,2015-03-06T08:15Z,2015-03-06T08:28Z,12297,5298,2015-03-06T07:12:00-CME-001
M1.4,2015-03-12T12:09Z,2015-03-12T12:14Z,2015-03-12T12:18Z,12297,5298,No
M1.3,2015-03-14T04:23Z,2015-03-14T04:40Z,2015-03-14T04:54Z,12297,5298,No
M1.2,2015-03-05T17:06Z,2015-03-05T18:11Z,2015-03-05T18:26Z,12297,5298,No
M1.2,2015-03-13T03:47Z,2015-03-13T04:01Z,2015-03-13T04:16Z,12297,5298,No
M1.2,2015-03-15T22:42Z,2015-03-15T23:22Z,2015-03-15T23:38Z,12297,5298,No
M1.0,2015-03-17T22:49Z,2015-03-17T23:34Z,2015-03-17T23:48Z,12297,5298,2015-03-18T00:12:00-CME-001
M1.0,2015-03-11T18:37Z,2015-03-11T18:51Z,2015-03-11T18:57Z,12297,5298,No
M1.0,2015-03-15T09:36Z,2015-03-15T09:40Z,2015-03-15T09:46Z,12297,5298,No
M1.4,2015-04-08T14:37Z,2015-04-08T14:43Z,2015-04-08T14:47Z,12320,5415,No
M4.0,2015-04-21T15:24Z,2015-04-21T15:45Z,2015-04-21T15:51Z,12322,5446,No
M2.2,2015-04-21T11:49Z,2015-04-21T11:57Z,2015-04-21T12:02Z,12322,5446,No
M2.1,2015-04-21T16:55Z,2015-04-21T17:00Z,2015-04-21T17:09Z,12322,5446,No
M1.8,2015-04-21T21:39Z,2015-04-21T21:45Z,2015-04-21T21:55Z,12322,5446,No
M1.1,2015-04-23T09:18Z,2015-04-23T10:07Z,2015-04-23T11:10Z,12322,5446,2015-04-23T09:36:00-CME-001
M1.1,2015-04-22T08:30Z,2015-04-22T08:44Z,2015-04-22T08:58Z,12322,5446,No
M1.0,2015-04-21T07:08Z,2015-04-21T07:21Z,2015-04-21T07:27Z,12322,5446,No
M1.2,2015-04-21T21:58Z,2015-04-21T22:01Z,2015-04-21T22:04Z,12325,5447,No
M1.1,2015-04-12T08:51Z,2015-04-12T09:50Z,2015-04-12T10:44Z,12321,5447,2015-04-12T10:00:00-CME-001
